Marca,País de Origen,Año de Fundación,Estado Actual,Grupo Automovilístico,Segmento Principal,Tipo de Motorización Destacada,Modelos Más Vendidos/Icónicos,Ventas Anuales (Aprox. Global 2023),Sede Principal,Nota Histórica Relevante,Ventas
Ford,EE. UU.,1903,Activa,Ford Motor Company,Generalista/Pick-up,Gasolina/Eléctrico,Mustang,4400000,Dearborn,Pionero en la línea de ensamblaje móvil,4400000
Dodge,EE. UU.,1900,Activa,Stellantis,Generalista/Performance,Gasolina V8,Challenger,200000,Auburn Hills,Enfocada en vehículos 'muscle car' y alto rendimiento.,200000
Cadillac,EE. UU.,1902,Activa,General Motors (GM),Lujo/Premium,Gasolina/Eléctrico,Escalade,300000,Detroit,División de lujo de GM pionera en motores V8 y tecnología.,300000
Toyota,Japón,1937,Activa,Toyota Motor Corp.,Generalista,Híbrida/Gasolina,Corolla,10500000,Toyota City,Uno de los mayores fabricantes del mundo líder en tecnología híbrida.,10500000
Acura,Japón,1986,Activa,Honda Motor Company,Lujo/Premium,Gasolina/Híbrida,MDX,130000,Minato,Primera división de lujo de una marca japonesa (Honda) en EE. UU.,130000
Mitsubishi,Japón,,Activa,Alianza Renault-Nissan-Mitsubishi,Generalista,Gasolina/PHEV,Outlander,830000,Tokio,Conocida por su herencia en el rally y vehículos 4x4 robustos.,830000
Chevrolet,EE. UU.,1911,Activa,General Motors (GM),Generalista,Gasolina/Eléctrico,Corvette,3600000,Detroit,Marca global de GM con un enfoque en volumen y rendimiento.,3600000
Nissan,Japón,1933,Activa,Alianza Renault-Nissan-Mitsubishi,Generalista,Gasolina/Eléctrico,Qashqai,3300000,Yokohama,Pionera en vehículos eléctricos de mercado masivo (Leaf).,3300000
BMW,Alemania,1916,Activa,BMW Group,Lujo/Premium,Gasolina/Eléctrico,Serie 3,2500000,Múnich,Famosa por su rendimiento su ingeniería de motores y el diseño de la 'parrilla de riñón'.,2500000
Chrysler,EE. UU.,1925,Activa,Stellantis,Generalista/Premium,Gasolina,300,130000,Auburn Hills,"Una de las ""Tres Grandes"" de Detroit conocida por la invención del monovolumen.",130000
