Marca,País de Origen,Año de Fundación,Estado Actual,Grupo Automovilístico,Segmento Principal,Tipo de Motorización Destacada,Modelos Más Vendidos/Icónicos,Ventas Anuales (Aprox. Global 2023),Sede Principal,Nota Histórica Relevante
Ford,EE. UU.,1903,Activa,Ford Motor Company,Generalista/Pick-up,Gasolina/Eléctrico,Mustang, 4400000,Dearborn,Pionero en la línea de ensamblaje móvil
Dodge,EE. UU.,1900,Activa,Stellantis,Generalista/Performance,Gasolina V8,Challenger, 200000,Auburn Hills,Enfocada en vehículos 'muscle car' y alto rendimiento.
Cadillac,EE. UU.,1902,Activa,General Motors (GM),Lujo/Premium,Gasolina/Eléctrico,Escalade, 300000,Detroit,División de lujo de GM pionera en motores V8 y tecnología.
Toyota,Japón,1937,Activa,Toyota Motor Corp.,Generalista,Híbrida/Gasolina,Corolla, 10500000,Toyota City,Uno de los mayores fabricantes del mundo líder en tecnología híbrida.
Acura,Japón,1986,Activa,Honda Motor Company,Lujo/Premium,Gasolina/Híbrida,MDX, 130000,Minato,Primera división de lujo de una marca japonesa (Honda) en EE. UU.
Mitsubishi,Japón,1970 (Div. Auto),Activa,Alianza Renault-Nissan-Mitsubishi,Generalista,Gasolina/PHEV,Outlander, 830000,Tokio,Conocida por su herencia en el rally y vehículos 4x4 robustos.
Chevrolet,EE. UU.,1911,Activa,General Motors (GM),Generalista,Gasolina/Eléctrico,Corvette, 3600000,Detroit,Marca global de GM con un enfoque en volumen y rendimiento.
Nissan,Japón,1933,Activa,Alianza Renault-Nissan-Mitsubishi,Generalista,Gasolina/Eléctrico, Qashqai, 3300000,Yokohama,Pionera en vehículos eléctricos de mercado masivo (Leaf).
BMW,Alemania,1916,Activa,BMW Group,Lujo/Premium,Gasolina/Eléctrico,Serie 3, 2500000,Múnich,Famosa por su rendimiento su ingeniería de motores y el diseño de la 'parrilla de riñón'.
Chrysler,EE. UU.,1925,Activa,Stellantis,Generalista/Premium,Gasolina,300, 130000,Auburn Hills,"Una de las ""Tres Grandes"" de Detroit conocida por la invención del monovolumen."
Subaru,Japón,1953,Activa,Subaru Corporation,Generalista/AWD,Gasolina Boxer/AWD, Impreza, 850000,Tokio,Famosa por sus motores Boxer y tracción integral simétrica.
Hyundai,Corea del Sur,1967,Activa,Hyundai Motor Group,Generalista,Gasolina/Eléctrico, Ioniq 5, 7300000,Seúl,Marca con un crecimiento espectacular y fuerte enfoque en diseño y garantía.
Honda,Japón,1948,Activa,Honda Motor Company,Generalista,Gasolina/Híbrida,Civic,4300000,Tokio,Gran fabricante de motores con reputación de fiabilidad e ingeniería.
Infiniti,Japón,1989,Activa,Nissan Motor Co.,Lujo/Premium,Gasolina,QX60, 80000,Yokohama,División de lujo de Nissan compite con Lexus y Acura.
Audi,Alemania,1909,Activa,Grupo Volkswagen,Lujo/Premium,Gasolina/Eléctrico,A4, 1900000, Ingolstadt,"Conocida por la tecnología de tracción total ""quattro"" y su diseño sofisticado."
Porsche,Alemania,1931,Activa,Grupo Volkswagen,Deportivo/Lujo,Gasolina/Eléctrico,911, 320000,Stuttgart,Fundada por Ferdinand Porsche famosa por el diseño atemporal del 911.
Volkswagen,Alemania,1937,Activa,Grupo Volkswagen,Generalista,Gasolina/Eléctrico,Golf,9200000,Wolfsburgo,Fundada para producir el coche del pueblo (Beetle).
Buick,EE. UU.,1899,Activa,General Motors (GM),Generalista/Premium,Gasolina,Enclave, 800000,Detroit,Marca más antigua de GM muy popular en el mercado chino.
Saturn,EE. UU.,1985,Desaparecida,General Motors (GM),Generalista,Gasolina,SL, 0,Spring Hill,"Creada por GM como una marca ""diferente"" con un enfoque en la experiencia de compra."
Mercedes-Benz,Alemania,1926,Activa,Mercedes-Benz Group,Lujo/Premium,Gasolina/Diésel/Eléctrico,Clase C, 2400000,Stuttgart,El fabricante del primer automóvil (Karl Benz 1886).
Jaguar,Reino Unido,1922,Activa,Tata Motors (JLR),Lujo/Deportivo,Gasolina/Eléctrico,F-Type, 60000,Coventry,Conocida por sus lujosos sedanes y deportivos de estilo elegante.
Volvo,Suecia,1927,Activa,Geely Holding Group,Premium/Seguridad,Híbrida/Eléctrico,XC60, 700000,Gotemburgo,Líder mundial en seguridad pionero en el cinturón de seguridad de tres puntos.
Pontiac,EE. UU.,1926,Desaparecida,General Motors (GM),Generalista/Deportivo,Gasolina,GTO,0,Detroit,Descontinuada tras la crisis financiera enfocada en rendimiento asequible.
Lincoln,EE. UU.,1917,Activa,Ford Motor Company,Lujo/Premium,Gasolina,Navigator, 90000,Dearborn,División de lujo de Ford conocida por su estilo clásico americano.
Oldsmobile,EE. UU.,1897,Desaparecida,General Motors (GM),Generalista,Gasolina,Cutlass,0,Lansing,Una de las marcas más antiguas de EE. UU. pionera en la transmisión automática.
Lexus,Japón,1989,Activa,Toyota Motor Corp.,Lujo/Premium,Híbrida/Gasolina,RX,825000,Nagoya (Sede Global),División de lujo de Toyota conocida por su fiabilidad y calidad de construcción.
Plymouth,EE. UU.,1928,Desaparecida,Chrysler,Generalista,Gasolina,Barracuda,0,Detroit,Marca histórica de Chrysler enfocada en el mercado de precio asequible.
Saab,Suecia,1945,Desaparecida,Varias (último NEVS),Generalista,Gasolina Turbo,900, 0,Trollhättan,Famosa por su innovación en seguridad aerodinámica y turboalimentación.
Jeep,EE. UU.,1941,Activa,Stellantis,SUV/Todo Terreno,Gasolina/Híbrido,Wrangler, 1200000 ,Auburn Hills,Pionero y líder mundial en vehículos todoterreno.
Tesla,EE. UU.,2003,Activa,Tesla Inc.,Eléctrico/Tecnológico,Eléctrica (EV),Model Y, 1800000,Austin,Líder en innovación y producción de vehículos eléctricos.
GMC,EE. UU.,1911,Activa,General Motors (GM),Pick-up/SUV Premium,Gasolina/Diésel,Sierra, 500000,Detroit,Especializada en camiones y SUVs de lujo dentro de GM.
Alfa Romeo,Italia,1910,Activa,Stellantis,Deportivo/Premium,Gasolina,Giulia, 60000,Turín,Conocida por su diseño pasional e historia en la competición.
